run_index,repetition_index,R1,B1,R2,B2,log(R1/R2),log(B1/B2)
4,0,7517,45628,20832,57769,-0.44268641664200287,-0.10246341695386356
10,0,27535,65287,6960,45438,0.5972758412067393,0.15740750560849634
8,0,16690,54000,8323,46599,0.3021764420462983,0.06401716285704091
1,0,9838,47686,12418,50080,-0.10114483728665188,-0.021273425757279685
3,0,8228,46461,16628,53695,-0.3055457328114907,-0.06284529364335936
2,0,8985,46991,14191,51820,-0.19849491860584192,-0.042482721450628744
5,0,6953,45410,27423,65363,-0.5959427342763828,-0.15818047512317346
0,0,11016,48611,11030,48841,-0.0005515851913233573,-0.002049992125450196
6,0,12480,49937,9855,47820,0.10255795673094315,0.018812876476246996
7,0,14114,51615,8842,46905,0.20309960252825987,0.04155679137799691
9,0,20692,58027,7413,45978,0.44580846961530307,0.10108004214919247
