run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(B1/B2),log(M1/M2),Changeovers
0,0,VI 20,944,11050,0.533,VI 120,86,208,1.6,1.0404735430545013,1.725298943058368,-0.4773927736293525,400
0,1,VI 20,906,10822,0.533,VI 120,91,206,1.6,0.9980868053557195,1.7204403092274094,-0.4773927736293525,406
0,2,VI 20,904,10894,0.533,VI 120,98,175,1.6,0.9649423547828685,1.794149322250819,-0.4773927736293525,346
0,3,VI 20,924,10954,0.533,VI 120,90,186,1.6,1.011429461780782,1.77005979237485,-0.4773927736293525,360
0,4,VI 20,898,10894,0.533,VI 120,85,214,1.6,1.0238574109530116,1.7067735975879226,-0.4773927736293525,412
0,5,VI 20,957,11162,0.533,VI 120,101,197,1.6,0.976590563994201,1.7532757920190487,-0.4773927736293525,382
0,6,VI 20,904,10685,0.533,VI 120,96,192,1.6,0.9738971974357948,1.7454732977965386,-0.4773927736293525,370
0,7,VI 20,875,10684,0.533,VI 120,99,203,1.6,0.9463728584247634,1.7212378414361222,-0.4773927736293525,394
0,8,VI 20,856,10542,0.533,VI 120,101,209,1.6,0.9281523908945106,1.7027767257678845,-0.4773927736293525,406
0,9,VI 20,942,11085,0.533,VI 120,105,210,1.6,0.9528616037229393,1.7225164027165878,-0.4773927736293525,406
1,0,VI 20,891,9362,0.645,VI 120,109,453,1.05,0.9124512060962512,1.3152704347785915,-0.21162958443467028,704
1,1,VI 20,905,9594,0.645,VI 120,94,427,1.05,0.9835207256055046,1.3515718391048543,-0.21162958443467028,680
1,2,VI 20,912,9405,0.645,VI 120,104,415,1.05,0.9429614990296359,1.355310703174305,-0.21162958443467028,659
1,3,VI 20,913,9541,0.645,VI 120,107,399,1.05,0.9310869998490894,1.3786210001621821,-0.21162958443467028,634
1,4,VI 20,872,9274,0.645,VI 120,106,480,1.05,0.915210619667797,1.2860258541841985,-0.21162958443467028,724
1,5,VI 20,859,9078,0.645,VI 120,119,443,1.05,0.8584462024387115,1.3115864521837608,-0.21162958443467028,664
1,6,VI 20,911,9549,0.645,VI 120,103,460,1.05,0.946681152267826,1.3172000616590915,-0.21162958443467028,684
1,7,VI 20,849,9004,0.645,VI 120,116,530,1.05,0.8644497010170342,1.2301596167276934,-0.21162958443467028,759
1,8,VI 20,878,9218,0.645,VI 120,101,453,1.05,0.93917314212346,1.3085385017756697,-0.21162958443467028,687
1,9,VI 20,926,9539,0.645,VI 120,100,434,1.05,0.9666109866819343,1.3420131192748905,-0.21162958443467028,690
2,0,VI 20,802,6717,0.8,VI 120,131,1296,0.8,0.7869030726283992,0.7145703467641181,0.0,1020
2,1,VI 20,859,7337,0.8,VI 120,107,1008,0.8,0.9046093861460327,0.8620579869652675,0.0,1029
2,2,VI 20,764,6599,0.8,VI 120,122,1280,0.8,0.7967335279009418,0.7122681587142542,0.0,1038
2,3,VI 20,896,7341,0.8,VI 120,112,1074,0.8,0.9030899869919435,0.8347509427079148,0.0,884
2,4,VI 20,829,7027,0.8,VI 120,116,1093,0.8,0.854096541323355,0.808149791587516,0.0,959
2,5,VI 20,803,6833,0.8,VI 120,121,1217,0.8,0.8219301749622309,0.7493208424926222,0.0,1054
2,6,VI 20,821,6866,0.8,VI 120,113,1152,0.8,0.8612647136360211,0.775251320002538,0.0,1027
2,7,VI 20,835,6913,0.8,VI 120,135,1348,0.8,0.7913527069885959,0.7099766646831324,0.0,1030
2,8,VI 20,849,7087,0.8,VI 120,123,1170,0.8,0.8390025788045548,0.7822765710153549,0.0,1019
2,9,VI 20,848,7117,0.8,VI 120,113,1100,0.8,0.8753174087732941,0.8109042806687004,0.0,980
3,0,VI 20,580,1804,1.05,VI 120,132,2142,0.645,0.6428540623570874,-0.0745829332899139,0.2116295844346703,947
3,1,VI 20,592,1786,1.05,VI 120,139,2143,0.645,0.6293069064688247,-0.07914071648930107,0.2116295844346703,868
3,2,VI 20,599,1830,1.05,VI 120,139,2029,0.645,0.6344120221352163,-0.044830957302916495,0.2116295844346703,896
3,3,VI 20,607,1880,1.05,VI 120,126,1929,0.645,0.6828181459576946,-0.011174378380204658,0.2116295844346703,861
3,4,VI 20,571,1867,1.05,VI 120,139,2129,0.645,0.613621307991753,-0.057031343489244275,0.2116295844346703,880
3,5,VI 20,573,1737,1.05,VI 120,150,2279,0.645,0.5820633629117087,-0.11794450673327694,0.2116295844346703,903
3,6,VI 20,559,1756,1.05,VI 120,151,2402,0.645,0.5684348605932539,-0.1360484914968035,0.2116295844346703,913
3,7,VI 20,591,1848,1.05,VI 120,147,2227,0.645,0.6042701461330793,-0.08101825014995032,0.2116295844346703,916
3,8,VI 20,631,1969,1.05,VI 120,134,2051,0.645,0.6729245608793267,-0.017719944230248072,0.2116295844346703,915
3,9,VI 20,641,1996,1.05,VI 120,129,1972,0.645,0.6962683192195684,0.005253626346159886,0.2116295844346703,872
4,0,VI 20,118,119,1.6,VI 120,113,1995,0.533,0.01880356382270569,-1.2243959386302363,0.4773927736293525,226
4,1,VI 20,116,116,1.6,VI 120,112,2098,0.533,0.015239966556736905,-1.2573474946306205,0.4773927736293525,220
4,2,VI 20,122,123,1.6,VI 120,123,2120,0.533,-0.003545280764649722,-1.2364307494893534,0.4773927736293525,237
4,3,VI 20,120,120,1.6,VI 120,138,2346,0.533,-0.0606978403536117,-1.2911467617318857,0.4773927736293525,234
4,4,VI 20,116,116,1.6,VI 120,131,2318,0.533,-0.05281330642884577,-1.3006554424006587,0.4773927736293525,224
4,5,VI 20,120,120,1.6,VI 120,115,1985,0.533,0.018483405694013133,-1.218579265051509,0.4773927736293525,234
4,6,VI 20,115,115,1.6,VI 120,127,2240,0.533,-0.04310588060234521,-1.2895501779805512,0.4773927736293525,219
4,7,VI 20,112,112,1.6,VI 120,123,2171,0.533,-0.04068708876921634,-1.2874418007842385,0.4773927736293525,222
4,8,VI 20,118,118,1.6,VI 120,141,2488,0.533,-0.07733710534925452,-1.3239683687126558,0.4773927736293525,216
4,9,VI 20,116,117,1.6,VI 120,119,2081,0.533,-0.01108897216561229,-1.2500862184654653,0.4773927736293525,220
5,0,VI 45,392,6878,0.533,VI 95,118,212,1.6,0.5214040597143319,1.5111263105572432,-0.4773927736293525,395
5,1,VI 45,430,7460,0.533,VI 95,113,200,1.6,0.5803900120961668,1.5717088318086876,-0.4773927736293525,382
5,2,VI 45,430,7357,0.533,VI 95,114,192,1.6,0.5765636042431139,1.5833995273389494,-0.4773927736293525,370
5,3,VI 45,387,6841,0.533,VI 95,109,192,1.6,0.5502844670782877,1.551818361721,-0.4773927736293525,358
5,4,VI 45,407,7102,0.533,VI 95,113,186,1.6,0.5565159657418003,1.5818677237476804,-0.4773927736293525,351
5,5,VI 45,397,6895,0.533,VI 95,112,201,1.6,0.5495724840929335,1.5353382130913797,-0.4773927736293525,386
5,6,VI 45,409,7105,0.533,VI 95,106,207,1.6,0.5864174427425716,1.5355937368065709,-0.4773927736293525,392
5,7,VI 45,382,6893,0.533,VI 95,109,226,1.6,0.5446368649710851,1.4842998393467859,-0.4773927736293525,428
5,8,VI 45,399,6943,0.533,VI 95,109,212,1.6,0.5635463977461246,1.515211304327802,-0.4773927736293525,392
5,9,VI 45,415,7339,0.533,VI 95,113,215,1.6,0.564969653228673,1.5331984277840234,-0.4773927736293525,398
6,0,VI 45,399,5646,0.645,VI 95,136,709,1.05,0.4674339873165307,0.901094638627834,-0.21162958443467028,872
6,1,VI 45,380,5732,0.645,VI 95,150,734,1.05,0.4036923375611289,0.8926101218092364,-0.21162958443467028,907
6,2,VI 45,394,5772,0.645,VI 95,134,692,1.05,0.46839142346076645,0.9212202279646988,-0.21162958443467028,849
6,3,VI 45,379,5522,0.645,VI 95,160,791,1.05,0.37451922731214754,0.8439199188055678,-0.21162958443467028,992
6,4,VI 45,381,5533,0.645,VI 95,161,784,1.05,0.3740990996437696,0.848644607529714,-0.21162958443467028,933
6,5,VI 45,370,5383,0.645,VI 95,151,784,1.05,0.38922477677382555,0.8367083171312495,-0.21162958443467028,994
6,6,VI 45,385,5694,0.645,VI 95,148,704,1.05,0.41519901411354326,0.907844803668824,-0.21162958443467028,891
6,7,VI 45,399,5723,0.645,VI 95,161,772,1.05,0.3941470196548985,0.8700064455726528,-0.21162958443467028,956
6,8,VI 45,403,5690,0.645,VI 95,150,727,1.05,0.4292137870854282,0.8935778555360333,-0.21162958443467028,918
6,9,VI 45,421,6001,0.645,VI 95,140,735,1.05,0.4781540601574303,0.9119362876819015,-0.21162958443467028,968
7,0,VI 45,336,3685,0.8,VI 95,177,2086,0.8,0.27836601102803743,0.24712318810455822,0.0,1202
7,1,VI 45,395,4252,0.8,VI 95,167,1928,0.8,0.373880624478877,0.3434862262844472,0.0,1229
7,2,VI 45,375,3967,0.8,VI 95,167,1949,0.8,0.3513147965801356,0.30865036135652907,0.0,1109
7,3,VI 45,392,4197,0.8,VI 95,148,1770,0.8,0.42302435162549984,0.3749657028496834,0.0,1158
7,4,VI 45,337,3653,0.8,VI 95,164,1929,0.8,0.3127860528236407,0.27731744456803215,0.0,1178
