net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
0,0,0,0.15,VI 20,539,0.533333333,1459,VI 120,148,1.6,1200,0.56132705,-0.477121255,0.084874046,883,,0.503585146,0.634938054,-0.00104323
0,0,1,0.15,VI 20,568,0.533333333,1586,VI 120,121,1.6,982,0.671562965,-0.477121255,0.208191695,846,,0.005361522,0.00374615,0.001764688
0,0,2,0.15,VI 20,540,0.533333333,1517,VI 120,150,1.6,1117,0.556302501,-0.477121255,0.132932408,849,,0.99395433,0.027900707,#N/A
0,0,3,0.15,VI 20,586,0.533333333,1592,VI 120,138,1.6,1050,0.62801853,-0.477121255,0.180753764,868,,20304.34258,247,#N/A
0,0,4,0.15,VI 20,579,0.533333333,1600,VI 120,138,1.6,1108,0.622799477,-0.477121255,0.159580222,841,,31.61180831,0.192277012,#N/A
0,0,5,0.15,VI 20,562,0.533333333,1570,VI 120,154,1.6,1195,0.562215595,-0.477121255,0.118531747,855,,,,
0,0,6,0.15,VI 20,566,0.533333333,1478,VI 120,144,1.6,1152,0.594453939,-0.477121255,0.108221955,866,,,,
0,0,7,0.15,VI 20,567,0.533333333,1573,VI 120,131,1.6,1042,0.636311763,-0.477121255,0.178861004,827,,,,
0,0,8,0.15,VI 20,596,0.533333333,1648,VI 120,124,1.6,1023,0.681824575,-0.477121255,0.207081574,822,,,,
0,0,9,0.15,VI 20,558,0.533333333,1543,VI 120,129,1.6,1028,0.636044489,-0.477121255,0.176372811,834,,,,
0,1,0,0.15,VI 20,634,0.64516129,1864,VI 120,122,1.052631579,824,0.715729427,-0.212608093,0.354518696,827,,,,
0,1,2,0.15,VI 20,541,0.64516129,1653,VI 120,148,1.052631579,956,0.56293555,-0.212608093,0.237814961,800,,,,
0,1,1,0.15,VI 20,622,0.64516129,1864,VI 120,133,1.052631579,904,0.669938744,-0.212608093,0.314277478,839,,,,
0,1,3,0.15,VI 20,582,0.64516129,1762,VI 120,135,1.052631579,944,0.634589216,-0.212608093,0.27103391,875,,,,
0,1,4,0.15,VI 20,565,0.64516129,1739,VI 120,130,1.052631579,971,0.638105096,-0.212608093,0.253080352,849,,,,
0,1,5,0.15,VI 20,608,0.64516129,1860,VI 120,131,1.052631579,906,0.666632284,-0.212608093,0.312384747,881,,,,
0,1,6,0.15,VI 20,608,0.64516129,1778,VI 120,136,1.052631579,917,0.650364671,-0.212608093,0.287562421,859,,,,
0,1,7,0.15,VI 20,587,0.64516129,1763,VI 120,122,1.052631579,900,0.682278271,-0.212608093,0.292009803,856,,,,
0,1,8,0.15,VI 20,637,0.64516129,1893,VI 120,128,1.052631579,860,0.696929463,-0.212608093,0.342652163,865,,,,
0,1,9,0.15,VI 20,604,0.64516129,1828,VI 120,131,1.052631579,855,0.663765643,-0.212608093,0.330010077,838,,,,
0,2,0,0.15,VI 20,612,0.8,1995,VI 120,140,0.8,802,0.640623386,0,0.395768532,817,,,,
0,2,1,0.15,VI 20,630,0.8,2092,VI 120,132,0.8,822,0.678766618,0,0.405689863,866,,,,
0,2,2,0.15,VI 20,601,0.8,2059,VI 120,118,0.8,741,0.706992465,0,0.443838139,762,,,,
0,2,3,0.15,VI 20,628,0.8,2120,VI 120,142,0.8,823,0.645671299,0,0.410936026,840,,,,
0,2,5,0.15,VI 20,636,0.8,2088,VI 120,130,0.8,715,0.689513763,0,0.465424453,774,,,,
