net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,53.2332999,,
0,0,0,0.1,VI 20,509,0.533333333,1243,VI 120,124,1.6,808,0.613296097,-0.477121255,0.187059768,544,,0.498912483,0.714954793,0.001019074
0,0,1,0.1,VI 20,494,0.533333333,1248,VI 120,131,1.6,823,0.576455653,-0.477121255,0.18081475,555,,0.006389085,0.004398465,0.002098526
0,0,2,0.1,VI 20,520,0.533333333,1227,VI 120,123,1.6,790,0.626098232,-0.477121255,0.191217471,529,,0.993121391,0.033179695,#N/A
0,0,4,0.1,VI 20,508,0.533333333,1256,VI 120,122,1.6,801,0.619503882,-0.477121255,0.195357123,497,,17830.71011,247,#N/A
0,0,3,0.1,VI 20,491,0.533333333,1212,VI 120,126,1.6,836,0.590710947,-0.477121255,0.161296342,527,,39.25937881,0.27192037,#N/A
0,0,5,0.1,VI 20,495,0.533333333,1210,VI 120,125,1.6,844,0.597695186,-0.477121255,0.156442924,549,,,,
0,0,6,0.1,VI 20,459,0.533333333,1095,VI 120,133,1.6,868,0.537961045,-0.477121255,0.100894394,496,,,,
0,0,8,0.1,VI 20,501,0.533333333,1178,VI 120,134,1.6,815,0.572732928,-0.477121255,0.159987682,572,,,,
0,0,7,0.1,VI 20,501,0.533333333,1239,VI 120,131,1.6,802,0.58256643,-0.477121255,0.188896938,539,,,,
0,0,9,0.1,VI 20,408,0.533333333,1042,VI 120,143,1.6,926,0.455324126,-0.477121255,0.051256732,553,,,,
0,1,0,0.1,VI 20,573,0.64516129,1415,VI 120,124,1.052631579,634,0.664732937,-0.212608093,0.348667182,522,,,,
0,1,1,0.1,VI 20,548,0.64516129,1496,VI 120,112,1.052631579,658,0.689562536,-0.212608093,0.3567057,576,,,,
0,1,2,0.1,VI 20,567,0.64516129,1450,VI 120,127,1.052631579,657,0.649779338,-0.212608093,0.343802633,500,,,,
0,1,3,0.1,VI 20,519,0.64516129,1422,VI 120,120,1.052631579,636,0.635986112,-0.212608093,0.349442481,552,,,,
0,1,4,0.1,VI 20,573,0.64516129,1539,VI 120,117,1.052631579,637,0.68996876,-0.212608093,0.383099187,529,,,,
0,1,5,0.1,VI 20,532,0.64516129,1360,VI 120,127,1.052631579,666,0.622107911,-0.212608093,0.310064679,492,,,,
0,1,6,0.1,VI 20,549,0.64516129,1563,VI 120,113,1.052631579,607,0.686493901,-0.212608093,0.410770287,581,,,,
0,1,7,0.1,VI 20,562,0.64516129,1505,VI 120,111,1.052631579,579,0.704413337,-0.212608093,0.414857936,526,,,,
0,1,8,0.1,VI 20,562,0.64516129,1500,VI 120,124,1.052631579,629,0.65631463,-0.212608093,0.377440614,505,,,,
0,1,9,0.1,VI 20,561,0.64516129,1457,VI 120,130,1.052631579,555,0.635019509,-0.212608093,0.419166569,507,,,,
0,2,0,0.1,VI 20,602,0.8,1804,VI 120,111,0.8,528,0.734273512,0,0.533602611,464,,,,
0,2,1,0.1,VI 20,533,0.8,1537,VI 120,138,0.8,581,0.586848123,0,0.422497735,553,,,,
0,2,3,0.1,VI 20,542,0.8,1633,VI 120,124,0.8,599,0.640577601,0,0.435559362,523,,,,
0,2,2,0.1,VI 20,591,0.8,1736,VI 120,113,0.8,499,0.718509037,0,0.541449175,502,,,,
0,2,4,0.1,VI 20,588,0.8,1692,VI 120,116,0.8,572,0.704919337,0,0.47100433,510,,,,
0,2,5,0.1,VI 20,603,0.8,1775,VI 120,127,0.8,549,0.676513591,0,0.509626013,557,,,,
0,2,7,0.1,VI 20,553,0.8,1642,VI 120,126,0.8,561,0.642354586,0,0.466410292,505,,,,
0,2,6,0.1,VI 20,599,0.8,1747,VI 120,125,0.8,540,0.680516809,0,0.509899145,507,,,,
0,2,8,0.1,VI 20,578,0.8,1678,VI 120,126,0.8,602,0.661557293,0,0.445195465,515,,,,
0,3,0,0.1,VI 20,601,1.052631579,2074,VI 120,118,0.64516129,510,0.706992465,0.212608093,0.609238576,533,,,,
0,3,1,0.1,VI 20,638,1.052631579,2082,VI 120,125,0.64516129,513,0.707910666,0.212608093,0.60836336,531,,,,
0,2,9,0.1,VI 20,595,0.8,1803,VI 120,107,0.8,556,0.745133188,0,0.510920935,546,,,,
0,3,2,0.1,VI 20,617,1.052631579,2056,VI 120,133,0.64516129,469,0.666433523,0.212608093,0.641850268,465,,,,
0,3,4,0.1,VI 20,628,1.052631579,2174,VI 120,113,0.64516129,477,0.7448812,0.212608093,0.658741161,492,,,,
0,3,3,0.1,VI 20,633,1.052631579,2182,VI 120,115,0.64516129,498,0.74070587,0.212608093,0.641625403,465,,,,
0,3,5,0.1,VI 20,650,1.052631579,2139,VI 120,115,0.64516129,473,0.752215516,0.212608093,0.655349644,537,,,,
0,3,6,0.1,VI 20,642,1.052631579,2157,VI 120,115,0.64516129,458,0.746837188,0.212608093,0.672984667,473,,,,
0,3,7,0.1,VI 20,611,1.052631579,2150,VI 120,118,0.64516129,478,0.714159203,0.212608093,0.653010563,501,,,,
0,3,8,0.1,VI 20,631,1.052631579,2101,VI 120,101,0.64516129,457,0.795707985,0.212608093,0.662509852,499,,,,
0,3,9,0.1,VI 20,610,1.052631579,2050,VI 120,122,0.64516129,508,0.698970004,0.212608093,0.605890149,497,,,,
0,4,0,0.1,VI 20,687,1.6,2829,VI 120,125,0.533333333,504,0.740046724,0.477121255,0.749202411,580,,,,
