net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers
0,0,0,0.1,VI 34.3,317,1.0,992,VI 34.3,318,1.0,979,-0.0013678577666811833,0.0,0.00572898035104087,584
0,1,0,0.1,VI 40,257,1.0,855,VI 30,399,1.0,1227,-0.1910397723554537,0.0,-0.15687844799883158,494
0,2,0,0.1,VI 48,256,1.0,810,VI 26.7,448,1.0,1276,-0.24303804868629447,0.0,-0.19736565550649374,508
0,3,0,0.1,VI 60,176,1.0,699,VI 24,509,1.0,1475,-0.4612051145226089,0.0,-0.32431484456850035,524
0,4,0,0.1,VI 80,165,1.0,633,VI 21.8,534,1.0,1535,-0.5100573128146502,0.0,-0.3847046697958502,550
0,5,0,0.1,VI 120,111,1.0,595,VI 20,540,1.0,1574,-0.6870707810363111,0.0,-0.4224877622944962,481
0,6,0,0.1,VI 30,336,1.0,1026,VI 40,313,1.0,1020,0.030794939843395545,0.0,0.0025471890138798986,531
0,7,0,0.1,VI 26.7,399,1.0,1192,VI 48,261,1.0,879,0.18433238834846727,0.0,0.1322873803304457,570
0,8,0,0.1,VI 24,482,1.0,1435,VI 60,207,1.0,686,0.36707669278193183,0.0,0.32052778536325943,536
0,9,0,0.1,VI 21.8,545,1.0,1613,VI 80,152,1.0,600,0.5545529143318699,0.0,0.4294831170053179,542
0,10,0,0.1,VI 20,632,1.0,1930,VI 120,104,1.0,542,0.7836837389836047,0.0,0.5515580224693868,529
