net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,am,ar,log(b)
-1,5,2,0.1,VI 45,1581,0.533333333,5488,VI 95,900,1.6,7198,0.24468936,-0.477121255,-0.11779774,5702,0.352811503,0.426668983,0.000593293
-1,2,0,0.1,VI 20,3208,0.8,8712,VI 120,742,0.8,4203,0.635830454,0,0.316558477,5545,0.009910962,0.007211924,0.003267387
-1,5,6,0.1,VI 45,1578,0.533333333,5504,VI 95,912,1.6,7278,0.238112161,-0.477121255,-0.121333626,5701,0.953461489,0.051661599,#N/A
-1,4,8,0.1,VI 20,3171,1.6,8643,VI 120,711,0.533333333,3993,0.649326641,0.477121255,0.335365203,5532,2530.216208,247,#N/A
-1,6,0,0.1,VI 45,1681,0.64516129,6631,VI 95,909,1.052631579,6120,0.26700383,-0.212608093,0.034827606,5768,13.50589344,0.659223443,#N/A
-1,2,8,0.1,VI 20,3250,0.8,8740,VI 120,676,0.8,4157,0.681936665,0,0.322731408,5577,,,
-1,0,4,0.1,VI 20,2957,0.533333333,7321,VI 120,706,1.6,5695,0.622046623,-0.477121255,0.109076678,5737,,,
-1,4,4,0.1,VI 20,3256,1.6,8891,VI 120,661,0.533333333,4024,0.692482937,0.477121255,0.344292638,5595,,,
-1,1,6,0.1,VI 20,3162,0.64516129,8474,VI 120,666,1.052631579,4606,0.676487636,-0.212608093,0.264764526,5738,,,
-1,3,6,0.1,VI 20,3217,1.052631579,8771,VI 120,728,0.64516129,4030,0.645319682,0.212608093,0.337744065,5570,,,
-1,2,4,0.1,VI 20,3271,0.8,8759,VI 120,698,0.8,4137,0.670825122,0,0.325769005,5621,,,
-1,0,8,0.1,VI 20,3030,0.533333333,7404,VI 120,691,1.6,5522,0.641964581,-0.477121255,0.127370008,5609,,,
-1,4,0,0.1,VI 20,3206,1.6,8657,VI 120,694,0.533333333,3827,0.664604048,0.477121255,0.354508955,5366,,,
-1,1,2,0.1,VI 20,3163,0.64516129,8420,VI 120,680,1.052631579,4534,0.667590279,-0.212608093,0.268830576,5599,,,
-1,3,2,0.1,VI 20,3250,1.052631579,8811,VI 120,681,0.64516129,4028,0.678736249,0.212608093,0.339935739,5587,,,
-1,0,0,0.1,VI 20,2885,0.533333333,7229,VI 120,705,1.6,5719,0.611956701,-0.477121255,0.101758128,5698,,,
