net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,interaction,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,ai,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G,B^2 - 4AC
1,11,0,0.1,VI 70,201,0.64516129,743,VI 70,223,1.052631579,1036,0.009590497,-0.045108806,-0.212608093,-0.144370942,0.620338138,0.763250041,-0.047473041,-0.00998573,0.045202201,0.009590497,0.002034804,601,-200.7307763,-235.4523787,-145.740418,589.3733882,-61580.52636
1,5,0,0.1,VI 45,256,0.533333333,714,VI 95,169,1.6,1124,-0.086050374,0.180353261,-0.477121255,-0.197068099,0.029152153,0.018938636,0.056506855,0.009626664,0.227644692,-0.086050374,0.032527299,544,23.08124931,35.8678024,57.01716034,10.11706957,
1,8,0,0.1,VI 45,312,1.052631579,1336,VI 95,149,0.64516129,607,0.068240464,0.320968326,0.212608093,0.342617767,0.991258947,0.047629123,#N/A,#N/A,0.045202201,0.068240464,0.103020666,540,0.907659428,27.62238045,#N/A,#N/A,
1,2,0,0.1,VI 20,582,0.8,1606,VI 120,93,0.8,450,0,0.796440036,0,0.552533027,793.8188251,21,#N/A,#N/A,0,0,0.634316731,438,68.80633119,21,#N/A,#N/A,
1,1,0,0.1,VI 20,545,0.64516129,1314,VI 120,121,1.052631579,603,-0.138963016,0.653611132,-0.212608093,0.338278053,5.402413481,0.047639201,#N/A,#N/A,0.045202201,-0.138963016,0.427207512,518,157496.8461,16022.91393,#N/A,#N/A,
1,10,0,0.1,VI 70,174,0.533333333,633,VI 70,211,1.6,1314,0.039950893,-0.083733207,-0.477121255,-0.317191655,,,,,0.227644692,0.039950893,0.00701125,532,,,,,
1,0,0,0.1,VI 20,453,0.533333333,1088,VI 120,123,1.6,775,-0.270142758,0.566193091,-0.477121255,0.147327193,,,,,0.227644692,-0.270142758,0.320574616,520,,,,,
1,12,0,0.1,VI 70,201,0.8,908,VI 70,196,0.8,905,0,0.010939986,0,0.001437269,,,,,0,0,0.000119683,597,,,,,
1,9,0,0.1,VI 45,313,1.6,1721,VI 95,115,0.533333333,430,0.207474506,0.434846497,0.477121255,0.602312415,,,,,0.227644692,0.207474506,0.189091476,461,,,,,
1,3,0,0.1,VI 20,580,1.052631579,1957,VI 120,106,0.64516129,438,0.156930738,0.738122128,0.212608093,0.650116715,,,,,0.045202201,0.156930738,0.544824276,459,,,,,
1,15,0,0.1,VI 95,130,0.533333333,472,VI 45,336,1.6,1731,0.196762861,-0.412395925,-0.477121255,-0.564355069,,,,,0.227644692,0.196762861,0.170070399,453,,,,,
1,14,0,0.1,VI 70,215,1.6,1272,VI 70,197,0.533333333,718,0.01811736,0.037972234,0.477121255,0.248362667,,,,,0.227644692,0.01811736,0.001441891,561,,,,,
1,4,0,0.1,VI 20,687,1.6,2929,VI 120,83,0.533333333,265,0.437939411,0.917878645,0.477121255,1.043473498,,,,,0.227644692,0.437939411,0.842501206,303,,,,,
1,6,0,0.1,VI 45,291,0.64516129,924,VI 95,154,1.052631579,788,-0.058758981,0.276372268,-0.212608093,0.069145754,,,,,0.045202201,-0.058758981,0.076381631,587,,,,,
1,13,0,0.1,VI 70,199,1.052631579,940,VI 70,199,0.64516129,848,0,0,0.212608093,0.044732001,,,,,0.045202201,0,0,628,,,,,
1,7,0,0.1,VI 45,317,0.8,1202,VI 95,136,0.8,633,0,0.367520354,0,0.278500758,,,,,0,0,0.13507121,548,,,,,
1,19,0,0.1,VI 95,163,1.6,1098,VI 45,256,0.533333333,752,-0.093540748,-0.196052361,0.477121255,0.1643845,,,,,0.227644692,-0.093540748,0.038436528,616,,,,,
1,17,0,0.1,VI 95,155,0.8,710,VI 45,276,0.8,1019,0,-0.250577384,0,-0.156915835,,,,,0,0,0.062789025,537,,,,,
1,21,0,0.1,VI 120,119,0.64516129,373,VI 20,594,1.052631579,2010,0.148451365,-0.698239484,-0.212608093,-0.731487226,,,,,0.045202201,0.148451365,0.487538376,394,,,,,
1,18,0,0.1,VI 95,146,1.052631579,820,VI 45,281,0.64516129,873,-0.060455848,-0.284353464,0.212608093,-0.027200391,,,,,0.045202201,-0.060455848,0.080856893,586,,,,,
1,23,0,0.1,VI 120,111,1.052631579,538,VI 20,574,0.64516129,1486,-0.151714778,-0.713588914,0.212608093,-0.441236534,,,,,0.045202201,-0.151714778,0.509209138,528,,,,,
1,16,0,0.1,VI 95,150,0.64516129,565,VI 45,319,1.052631579,1312,0.06967155,-0.327699424,-0.212608093,-0.365885387,,,,,0.045202201,0.06967155,0.107386912,547,,,,,
1,20,0,0.1,VI 120,93,0.533333333,254,VI 20,687,1.6,2959,0.414367304,-0.868473789,-0.477121255,-1.066311249,,,,,0.227644692,0.414367304,0.754246721,312,,,,,
1,22,0,0.1,VI 120,103,0.8,458,VI 20,593,0.8,1683,0,-0.760217469,0,-0.565218638,,,,,0,0,0.5779306,512,,,,,
1,24,0,0.1,VI 120,119,1.6,806,VI 20,488,0.533333333,1134,-0.292414668,-0.612872861,0.477121255,-0.148278013,,,,,0.227644692,-0.292414668,0.375613143,569,,,,,
