net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,interaction,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,ai,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G,B^2 - 4AC,Key
1,0,0,0.1,VI 20,432,0.533333333,855,VI 120,128,1.6,737,-0.252050647,0.528273777,-0.477121255,0.064498627,0.758491961,0.854559574,0.053022849,-0.003646673,0.227644692,-0.252050647,0.279073184,656,-221.5276391,,,,0,0 0
1,6,0,0.1,VI 45,269,0.64516129,791,VI 95,152,1.052631579,739,-0.052707394,0.247908692,-0.212608093,0.029532045,0.041309359,0.025915622,0.073257869,0.013604285,0.045202201,-0.052707394,0.06145872,650,,,,,,6 0
1,14,0,0.1,VI 70,222,1.6,1289,VI 70,157,0.533333333,460,0.071784478,0.150453322,0.477121255,0.447495086,0.988384145,0.066522888,#N/A,#N/A,0.227644692,0.071784478,0.022636202,626,,,,,,14 0
1,8,0,0.1,VI 45,336,1.052631579,1280,VI 95,142,0.64516129,443,0.079526256,0.374050933,0.212608093,0.460806243,595.6246062,21,#N/A,#N/A,0.045202201,0.079526256,0.1399141,574,,,,,,8 0
1,3,0,0.1,VI 20,651,1.052631579,1987,VI 120,91,0.64516129,236,0.181682034,0.854539596,0.212608093,0.925285864,7.907443148,0.092931188,#N/A,#N/A,0.045202201,0.181682034,0.730237922,365,,,,,,3 0
1,13,0,0.1,VI 70,204,1.052631579,850,VI 70,182,0.64516129,678,0.010536598,0.049558779,0.212608093,0.098189232,,,,,0.045202201,0.010536598,0.002456073,634,,,,,,13 0
1,9,0,0.1,VI 45,349,1.6,1580,VI 95,136,0.533333333,370,0.195279297,0.409286519,0.477121255,0.630455363,,,,,0.227644692,0.195279297,0.167515454,538,,,,,,9 0
1,7,0,0.1,VI 45,284,0.8,952,VI 95,158,0.8,663,0,0.254661253,0,0.15712342,,,,,0,0,0.064852354,660,,,,,,7 0
1,5,0,0.1,VI 45,250,0.533333333,622,VI 95,152,1.6,944,-0.103104195,0.216096421,-0.477121255,-0.18118161,,,,,0.227644692,-0.103104195,0.046697663,658,,,,,,5 0
1,12,0,0.1,VI 70,197,0.8,794,VI 70,189,0.8,785,0,0.018004422,0,0.004950846,,,,,0,0,0.000324159,667,,,,,,12 0
1,15,0,0.1,VI 95,120,0.533333333,338,VI 45,318,1.6,1576,0.201939602,-0.423245874,-0.477121255,-0.668639513,,,,,0.227644692,0.201939602,0.17913707,464,,,,,,15 0
1,1,0,0.1,VI 20,517,0.64516129,1137,VI 120,124,1.052631579,585,-0.131831657,0.620068858,-0.212608093,0.288604599,,,,,0.045202201,-0.131831657,0.384485389,684,,,,,,1 0
1,10,0,0.1,VI 70,160,0.533333333,494,VI 70,237,1.6,1273,0.081410419,-0.170628363,-0.477121255,-0.411101455,,,,,0.227644692,0.081410419,0.029114038,610,,,,,,10 0
1,11,0,0.1,VI 70,194,0.64516129,621,VI 70,229,1.052631579,989,0.015314959,-0.072033752,-0.212608093,-0.202104691,,,,,0.045202201,0.015314959,0.005188861,705,,,,,,11 0
1,2,0,0.1,VI 20,552,0.8,1456,VI 120,122,0.8,419,0,0.655579247,0,0.540947352,,,,,0,0,0.429784149,573,,,,,,2 0
1,4,0,0.1,VI 20,750,1.6,3195,VI 120,64,0.533333333,119,0.509985982,1.068881289,0.477121255,1.428923901,,,,,0.227644692,0.509985982,1.142507211,228,,,,,,4 0
1,16,0,0.1,VI 95,132,0.64516129,492,VI 45,317,1.052631579,1249,0.080894261,-0.380485331,-0.212608093,-0.404597336,,,,,0.045202201,0.080894261,0.144769087,632,,,,,,16 0
1,17,0,0.1,VI 95,162,0.8,641,VI 45,301,0.8,1048,0,-0.269051481,0,-0.213503253,,,,,0,0,0.072388699,698,,,,,,17 0
1,18,0,0.1,VI 95,148,1.052631579,698,VI 45,281,0.64516129,841,-0.059199576,-0.278444605,0.212608093,-0.080940573,,,,,0.045202201,-0.059199576,0.077531398,659,,,,,,18 0
1,20,0,0.1,VI 120,71,0.533333333,145,VI 20,712,1.6,2929,0.477704127,-1.001221645,-0.477121255,-1.305351369,,,,,0.227644692,0.477704127,1.002444782,247,,,,,,20 0
1,23,0,0.1,VI 120,120,1.052631579,594,VI 20,498,0.64516129,1134,-0.131402027,-0.618048097,0.212608093,-0.28082661,,,,,0.045202201,-0.131402027,0.38198345,694,,,,,,23 0
1,21,0,0.1,VI 120,95,0.64516129,254,VI 20,646,1.052631579,2042,0.176998132,-0.832508913,-0.212608093,-0.905222021,,,,,0.045202201,0.176998132,0.69307109,418,,,,,,21 0
1,19,0,0.1,VI 95,162,1.6,944,VI 45,261,0.533333333,676,-0.098823975,-0.207125493,0.477121255,0.145025298,,,,,0.227644692,-0.098823975,0.04290097,669,,,,,,19 0
1,22,0,0.1,VI 120,113,0.8,392,VI 20,561,0.8,1486,0,-0.695884418,0,-0.578732742,,,,,0,0,0.484255123,550,,,,,,22 0
1,24,0,0.1,VI 120,114,1.6,683,VI 20,456,0.533333333,896,-0.287255618,-0.602059991,0.477121255,-0.117887306,,,,,0.227644692,-0.287255618,0.362476233,643,,,,,,24 0
