net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,
1,0,0,0.1,VR 160,3,208,VR 160,1,211,1,0.496420048,0.503579952
1,1,0,0.1,VR 160,0,179,VR 160,4,220,1,0.448621554,0.551378446
1,2,0,0.1,VR 160,1,207,VR 160,0,182,1,0.532133676,0.532133676
1,3,0,0.1,VR 5,1,188,VR 5,3,220,1,0.460784314,0.539215686
1,4,0,0.1,VR 5,59,318,VR 5,71,367,1,0.464233577,0.535766423
1,5,0,0.1,VR 5,94,463,VR 5,57,253,1,0.646648045,0.646648045
1,6,0,0.1,VR 5,64,329,VR 5,44,265,1,0.553872054,0.553872054
1,7,0,0.1,VR 160,66,371,VR 160,36,234,1,0.61322314,0.61322314
1,8,0,0.1,VR 160,2,201,VR 160,3,223,1,0.474056604,0.525943396
1,9,0,0.1,VR 160,0,204,VR 160,1,190,1,0.517766497,0.517766497
1,10,0,0.1,VR 160,0,196,VR 160,1,194,1,0.502564103,0.502564103
1,11,0,0.1,VR 160,1,169,VR 160,1,210,1,0.44591029,0.55408971
