net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,
1,0,0,0.1,VR 160,0,197,VR 160,0,194,1,0.503836317,0.503836317
1,1,0,0.1,VR 160,2,205,VR 160,0,212,1,0.491606715,0.508393285
1,2,0,0.1,VR 160,0,194,VR 160,2,182,1,0.515957447,0.515957447
1,3,0,0.1,VR 5,2,214,VR 5,1,184,1,0.537688442,0.537688442
1,4,0,0.1,VR 5,57,313,VR 5,43,254,1,0.552028219,0.552028219
1,5,0,0.1,VR 5,42,268,VR 5,41,227,1,0.541414141,0.541414141
1,6,0,0.1,VR 5,44,267,VR 5,57,307,1,0.465156794,0.534843206
1,7,0,0.1,VR 160,38,234,VR 160,40,227,1,0.507592191,0.507592191
1,8,0,0.1,VR 160,4,195,VR 160,0,214,1,0.476772616,0.523227384
1,9,0,0.1,VR 160,2,224,VR 160,2,197,1,0.532066508,0.532066508
1,10,0,0.1,VR 160,2,185,VR 160,1,216,1,0.461346633,0.538653367
1,11,0,0.1,VR 160,1,161,VR 160,2,189,1,0.46,0.54
