net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,Key
1,0,0,0.1,VR 160,1,206,VR 160,4,225,1.0,0.4779582366589327,0 0
1,1,0,0.1,VR 160,1,192,VR 160,1,199,1.0,0.49104859335038364,1 0
1,2,0,0.1,VR 160,3,214,VR 160,1,166,1.0,0.5631578947368421,2 0
1,3,0,0.1,VR 160,1,197,VR 160,3,187,1.0,0.5130208333333334,3 0
1,4,0,0.1,VR 5,21,134,VR 5,100,431,1.0,0.23716814159292035,4 0
1,5,0,0.1,VR 5,39,217,VR 5,48,283,1.0,0.434,5 0
1,6,0,0.1,VR 5,48,279,VR 5,48,256,1.0,0.5214953271028038,6 0
1,7,0,0.1,VR 5,71,344,VR 5,43,245,1.0,0.5840407470288624,7 0
1,8,0,0.1,VR 160,2,203,VR 160,1,215,1.0,0.48564593301435405,8 0
1,9,0,0.1,VR 160,1,241,VR 160,0,194,1.0,0.5540229885057472,9 0
1,10,0,0.1,VR 160,0,208,VR 160,1,199,1.0,0.5110565110565111,10 0
1,11,0,0.1,VR 160,3,231,VR 160,2,187,1.0,0.5526315789473685,11 0
1,12,0,0.1,VR 2,147,396,VR 2,483,1238,1.0,0.2423500611995104,12 0
